Phrases,State
Open Spotify,0
Run Spotify,0
play artist on spotify,0
play playlist on spotify,0
play album on spotify,0
open gmail,1
send email,1
open email,1
open youtube,2
play youtube videos,2
check calender,3
to-do list,3
to-do,3
events do I have,3
check events,3
Send text message,4
send message,4
send text,4
send facebook message,5
message on facebook,5
weather,6
is it sunny,6
is it cloudy,6
is it rain,6
is it snow,6
is it hail,6
is it wind,6
search up,7
search on google,7
look up ,7
google search,7
